Asset_ID,Name Sort Not sorted  Name,Version Sort Not sorted  Version,Software Manufacturer Sort Not sorted  Software Manufacturer,Type Sort Not sorted  Type,Installation Date Sort Not sorted  Installation Date,Installation Directory Sort Not sorted  Installation Directory,File Count Sort Not sorted  File Count,0,1,2
15566,CxAudioSvc,1.0,Conexant Systems LLC.,Application,,C:\Windows\CxSvc,1.0,,,
15566,DesktopSureSupply,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,DeviceUpdateDmExe,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,DigitalWizards,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,EC App,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.ECApp_8wekyb3d8bbwe,1.0,,,
15566,EWSProxy,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,File Explorer,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.FileExplorer_cw5n1h2txyewy,1.0,,,
15566,File Picker,10.0,Microsoft Corporation Inc.,Application,,C:\Windows\SystemApps\Microsoft.Windows.FilePicker_cw5n1h2txyewy,1.0,,,
15566,Foxit PDF Preview Handler Host,12.1,Foxit Corporation,Application,,C:\Program Files (x86)\Foxit Software\Foxit PDF Reader\Shell Extensions,1.0,,,
15566,Foxit PDF Reader,2024.4,Foxit Software Inc.,Application,"February 10, 2025 12:00:00 AM",C:\Program Files (x86)\Foxit Software\Foxit PDF Reader,1.0,,,
15566,Foxit PDF Reader Update Service,2.0,Foxit Software Inc.,Application,,C:\Program Files (x86)\Common Files\Foxit PDF Reader,2.0,,,
15566,Foxit Updater,2024.4,Foxit Corporation,Application,,C:\Program Files (x86)\Foxit Software\Foxit PDF Reader,1.0,,,
15566,Google Chrome,144.0,Google LLC,Web Browser,"February 06, 2026 12:00:00 AM",C:\Program Files\Google\Chrome\Application,9.0,,,
15566,Google Chrome,146.0,Google LLC,Web Browser,,C:\Program Files\Google\Chrome\Application\PlatformExperienceHelper,1.0,,,
15566,Google Chrome,145.0,Google LLC,Web Browser,,C:\Program Files (x86)\Google\ChromeEnterpriseCompanion,1.0,,,
15566,Google Updater (x64),144.0,Google LLC,Application,,C:\Program Files (x86)\Google\Update,2.0,,,
15566,HP Dropbox Plugin,56.0,HP,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,HP EmailSMTP Plugin,56.0,HP,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,HP FTP Plugin,56.0,HP,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,HP Google Drive Plugin,56.0,HP,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,HP LaserJet MFP M232-M237 Basic Device Software,52.3,HP Inc.,Add/Remove Programs,"July 02, 2025 12:00:00 AM",,,,,
15566,HP PDS Connector,6.2,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\DriverStore\YetiV4\i386,2.0,,,
15566,HP Printer Assistant,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
15566,HP Printer Assistant Helper.,52.03,HP Inc.,Application,,C:\Program Files\HP\HP LaserJet MFP M232-M237\Bin,1.0,,,
